username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"ligomersall","2018-07-27-17:01",0,1,0,"Grenfell: Police say they have 'reasonable grounds' to suspect Kensington council and TMO committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html?amp#click=https://t.co/mZR0eMfHO2 …","","","","1022950199671570432","","","https://twitter.com/ligomersall/status/1022950199671570432",""
"adobemotion","2018-07-27-16:47",1,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022946597448110080","","","https://twitter.com/adobemotion/status/1022946597448110080",""
"bradfordeye","2018-07-27-16:30",0,0,0,"Grenfell: Police say they have 'reasonable grounds' to suspect Kensington council and TMO committed corporate manslaughter http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022942400958947328","","","https://twitter.com/bradfordeye/status/1022942400958947328",""
"DanCymru2","2018-07-27-16:29",0,0,0,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022941976319156230","","","https://twitter.com/DanCymru2/status/1022941976319156230",""
"BushMelton","2018-07-27-16:21",0,0,1,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022940121010659328","","","https://twitter.com/BushMelton/status/1022940121010659328",""
"londheart","2018-07-27-16:01",0,0,0,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022935134205554688","","","https://twitter.com/londheart/status/1022935134205554688",""
"ukbloc","2018-07-27-15:54",0,2,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022933373566820352","","","https://twitter.com/ukbloc/status/1022933373566820352",""
"Karendarlau","2018-07-27-15:48",1,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022931807753449473","","","https://twitter.com/Karendarlau/status/1022931807753449473",""
"ukfathers","2018-07-27-15:47",4,0,1,"Grenfell: Police say they have 'reasonable grounds' to suspect Kensington council and TMO committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022931494753497088","","","https://twitter.com/ukfathers/status/1022931494753497088","https://pbs.twimg.com/profile_images/552089385189916672/apQdgX2n_normal.jpeg"
"MeabanBeag","2018-07-27-15:43",0,0,1,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022930539844718592","","","https://twitter.com/MeabanBeag/status/1022930539844718592",""
