username,date,retweets,favorites,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"BrittanyErstad","2012-08-21-22:17",1,0,"just witnessed fb sensor a pic of margaret sanger speaking at a kkk event... http://margaretsanger.blogspot.com/","","","","238097565281824768","","","https://twitter.com/BrittanyErstad/status/238097565281824768",""
"dphaw","2012-07-09-01:11",2,0,"There's more out there too. “ @ TexasConsBanker: Margaret Sanger speaking to KKK @ RobHoey @ debbiewarrick pic.twitter.com/axWCXL2q”","","@ TexasConsBanker @ RobHoey @ debbiewarrick","","222196325347901440","","","https://twitter.com/dphaw/status/222196325347901440","https://pbs.twimg.com/media/AxVddeUCEAEs_Xv.jpg"
"DavidBugnon","2012-07-09-00:46",6,0,"MT @ TexasConsBanker: Margaret Sanger speaking to KKK http://bit.ly/PDjd8f || She established # PlannedParenthood, racist Dems love her. # tcot","","@ TexasConsBanker","# PlannedParenthood # tcot","222189844514877440","","","https://twitter.com/DavidBugnon/status/222189844514877440",""
"gomerschlep","2012-03-29-10:57",1,0,"Good morning. Here's Planned Parenthood founder Margaret Sanger speaking at a KKK rally. Go figure. pic.twitter.com/kL2WuJNR","","","","185380132473679872","","","https://twitter.com/gomerschlep/status/185380132473679872","https://pbs.twimg.com/media/ApKaP5DCMAApTgr.jpg"
"Ruth_Birke","2012-03-13-05:10",0,0,"I saw a pic of # Margaret Sanger speaking to a group of. # KKK wearing their white pointed hoods with robes. Do you know why? Sanger began....","","","# Margaret # KKK","179494511821602816","","","https://twitter.com/Ruth_Birke/status/179494511821602816",""
"MQPLife","2012-02-20-23:28",0,0,"Photo of Margaret Sanger speaking in front of the KKK. http://twitpic.com/8jubfx via @ TwitPic # ProLife # prochoice # MQPLife","","@ TwitPic","# ProLife # prochoice # MQPLife","171813532327878656","","","https://twitter.com/MQPLife/status/171813532327878656",""
"sagarrity","2012-02-20-20:55",0,0,"@ Justsnapd8 Gwen is he asking you for a pic of Margaret Sanger speaking to the KKK. Here's one: http://margaretsanger.blogspot.com/","","@ Justsnapd8","","171774912644657152","","","https://twitter.com/sagarrity/status/171774912644657152",""
"Brian_Casserly","2012-02-15-23:10",0,0,"RT @ Travesham Planned Parenthood's founder. > Photo of Margaret Sanger speaking in front of the KKK. http://twitpic.com/8jubfx","","@ Travesham","","169997139575963649","","","https://twitter.com/Brian_Casserly/status/169997139575963649",""
"Travesham","2012-02-15-19:27",4,1,"Planned Parenthood's founder. RT @ LJZumpano: “@LDLUERSSEN: Photo of Margaret Sanger speaking in front of the KKK. http://twitpic.com/8jubfx # p2","","@ LJZumpano","# p2","169940814896697344","","","https://twitter.com/Travesham/status/169940814896697344",""
"LJZumpano","2012-02-14-10:06",5,1,"“@LDLUERSSEN: Photo of Margaret Sanger speaking in front of the KKK. http://twitpic.com/8jubfx ” << # teaparty # tcot # tbrs","","","# teaparty # tcot # tbrs","169437356762472448","","","https://twitter.com/LJZumpano/status/169437356762472448",""
"Lisa_Luerssen","2012-02-14-10:02",0,0,"Photo of Margaret Sanger speaking in front of the KKK. http://twitpic.com/8jubfx","","","","169436405876011009","","","https://twitter.com/Lisa_Luerssen/status/169436405876011009",""
"garysteveneaton","2012-02-03-19:48",1,0,"@ LarryOConnor I guess that picture of Margaret Sanger speaking at a KKK rally is photoshopped. Right, @ REALBROTHER0003 ?","","@ LarryOConnor @ REALBROTHER0003","","165597497782304768","165595808497016833","LarryOConnor","https://twitter.com/garysteveneaton/status/165597497782304768",""
"LivingIn2day","2011-03-12-10:02",0,0,"Ever hear “A picture's worth 1000 words'? What about one of Margaret Sanger, Planned Parenthood founder, speaking to a meeting of the KKK?","","","","46586972038365184","","","https://twitter.com/LivingIn2day/status/46586972038365184",""
